Year,Australia,Austria,Belarus,Belgium,Bulgaria,Canada,Croatia,Cyprus,Czech Republic,Denmark,Estonia,European Union,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Japan,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Monaco,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Russian Federation,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom,United States of America
1990,278265.898940768,62297.1655681668,100438.095063708,119982.503418506,78197.8812570199,463493.332387577,23390.075209187,4621.007176785,161662.018871736,54306.4333356516,36666.0272974484,4462205.14458363,56950.8481820202,400652.624020681,1052238.2340002,83403.7199982216,73115.1986276439,2106.0260683761,32768.5267614461,436204.249867101,1155993.61991868,19794.2944546485,198.7751120437,35812.8936845412,11944.0073852812,1860.4736481837,95.3851833206,162497.559622722,25419.7716716116,35694.8243978959,378782.539166168,45809.0714101803,174731.886787722,2589725.30553003,61837.5667856109,15088.3050462456,230154.963134126,57546.5432515479,44115.5340859731,146750.63697943,693024.76655995,596398.473207427,5115095.04749812
1991,279741.639011863,65903.513308256,93649.166141388,123130.652897225,59769.3415026104,454246.137946001,17268.9103457996,5107.082886881,146047.33959314,64874.8138594637,33662.372514403,4403723.16147676,55187.1794528947,425042.920702848,1014119.71977239,83390.3546805713,69392.7256389081,2042.9369760105,33508.44202382,435938.613895185,1164474.34578731,18021.1952417204,206.1467068456,37908.6124957275,12467.5131948589,2041.2460926311,96.1472045796,171081.473914794,26108.064501553,34070.978364376,375684.15694778,47406.8424856753,143586.607530198,2433187.64541119,53447.4400150003,14007.2826135476,239725.183689106,57755.634675433,46144.809538993,152335.174224314,621305.236399432,604652.896877579,5064879.75034285
1992,284766.092717838,60432.2493410185,87060.81028961,122217.919518023,56551.5935722778,468546.458912059,16607.1344792414,5482.974869661,141565.719740237,58960.3115236108,24187.827575953,4259922.81188982,54264.3793101323,414955.076785321,965790.835271489,84949.0258298748,62050.1263972833,2172.6193632631,33344.1023763207,435535.835117712,1174619.00608734,14244.6533850411,206.7760328029,21207.8873890696,12253.5715940463,2174.6344662953,101.7426030389,170975.242888508,28099.6999900939,34833.2478178252,365865.15951878,51850.5656733148,132732.908743069,2013175.48242406,48979.1257649755,14009.3986307298,248407.160135641,57482.0646582609,45974.7025405505,158571.546483621,577064.259624575,589306.018141796,5170274.35048577
1993,289142.267681326,60790.7577213156,75551.755291625,121156.964954729,57203.9355176784,467607.237235461,17081.2280227503,5733.674102128,135588.565572531,61038.6712439614,18810.9639158495,4177106.50927114,56333.26799423,394334.83380057,955977.599356065,84263.0078976228,63174.9783732307,2294.5046441314,33574.9717415815,429158.009174904,1167714.71812869,11966.1455063059,214.867690812,16347.1718255148,12375.507079302,2252.0627671283,100.8819384559,171497.891064769,27697.2273476821,36520.7838206741,366427.660913436,50502.1225996005,124819.100092444,1909577.84022625,46467.5491941913,14303.9936504337,239938.287255991,57425.9514469075,43556.2764199287,167443.152055541,498504.838991931,574764.752712009,5284758.62020545
1994,293830.709141192,61189.1025048542,62402.279082903,124426.885709848,55649.0813153431,482691.671271798,16342.1818762402,5977.257104602,129188.734109272,64988.7809040025,19626.4459432317,4161321.31739286,61696.3853292446,394536.962436592,939207.328236553,86425.8565118787,61568.3745934751,2248.3689525263,34696.485727221,421404.099922133,1228936.69128837,10399.1411291737,200.961153023,15765.4147628091,11560.5716944518,2302.77027659,101.8726362869,175008.703110698,27879.0592141093,38434.7651928654,362012.958757259,51303.2041493178,122610.776956391,1685494.54694021,43638.4901175531,14648.7255407292,252389.348341529,59876.998756461,42613.303737038,164623.553279146,409721.673978029,569458.364876459,5377492.21747199
1995,305162.543548735,64202.1592201769,56005.93938238,125519.441990638,57221.6062924032,497224.83692526,16992.8004192757,5848.043785196,129767.166426691,61914.1610128897,17953.7359736926,4204480.85553967,58126.247543133,401571.225451732,938148.0930919,86980.6457725937,61354.4620207158,2299.6136545446,35718.7485642434,447201.168755567,1242494.02197198,9141.3535165033,204.0559204308,15022.5441346944,9155.8526499137,2313.2160894472,98.9904298934,173196.297429017,28143.4576273053,38464.9066615123,363885.777573228,55134.3294664048,128587.003639727,1629496.29767829,44679.5449583075,15277.7447752259,265725.3506663,59318.672714076,43368.4571561622,178812.409473623,380871.283680675,561202.9539948,5441599.22972902
1996,311914.819824229,67667.2626980903,57251.355700374,129010.471708927,57581.194759982,510619.682210148,17587.8984604534,6156.132133961,132234.071786388,75110.840989738,18666.1359705806,4304793.28338046,64038.9222021128,414013.070054113,958368.724698229,89134.4253965711,62950.2532137021,2385.9138255708,37335.1081070614,440235.507200098,1255264.19757618,9216.3839879477,205.8090896243,15676.8310317989,9217.1903005353,2329.1816982177,102.3195384466,182573.582902116,29368.2649922759,41586.7085615304,377308.59613738,52348.4688110753,131939.69450211,1581293.21958917,44978.9115789435,15945.1761136753,253708.870128625,63238.7859377907,44088.3349466694,194751.7794059,344347.189394243,582752.784369152,5630113.71546884
1997,320439.116819391,67455.8927304212,60971.816305307,123495.742758683,54790.1341566389,525120.011175522,18666.4669752133,6287.031657389,128732.638710869,65457.8348433241,18223.6042706384,4216524.73281421,62698.0867925088,407475.111806521,930768.560542915,93839.8699189575,61549.9124641614,2450.2439197907,38675.594023595,444055.433535223,1253057.30667741,8677.5458108348,218.2353728624,15086.2857611334,8530.7453454746,2331.9547349357,101.0844813444,175487.970753103,31363.4526194792,41683.1333687712,368415.853280443,55454.2110573498,123515.853269646,1502079.86636293,45040.2697406883,16275.5596667516,266391.92680196,58154.5297192918,42971.6244552183,208480.069613411,334208.702214892,557608.779401985,5704996.86860223
1998,334328.142646602,67047.2506680177,57426.329584039,129737.090031462,52143.3567693638,533794.453645326,19372.3876004329,6580.296149717,123696.517294897,61117.3416291516,16684.3031468739,4207666.03163804,59351.4981462986,429051.499923046,922778.540047935,98663.1941625214,61087.7637948753,2450.2342634285,40572.1758596239,454967.633181096,1218257.76164334,8300.5952780108,229.1171039268,15901.5175726569,7619.3632899742,2338.0627877001,99.8168591352,176617.168521043,29927.5013796907,41939.0379176034,339145.82962033,59976.20991864,106813.977529299,1476588.92527691,44016.9870017177,15980.4778466171,274911.096949235,58733.4063631372,44522.3714213249,208365.343988278,309207.662874893,561253.722845185,5744672.1958021
1999,343713.906947774,65660.1336422327,55033.952116896,124208.071769964,45751.789097251,550183.063388038,20215.653226001,6847.659115972,115475.259995958,58456.4158198368,15518.4906207187,4139002.99479822,58872.9308028447,420506.321957388,895336.786172859,97979.7783523224,61593.1410164197,2655.3947254456,42302.0878630807,459840.64226897,1253082.14716425,7709.0499925665,226.4488380144,13422.1511465775,7986.1558805685,2418.5555646107,100.6592819301,171228.109552445,31523.1860916854,42691.7563679429,329380.898350257,67612.8118918815,90443.3507659838,1512651.93084896,43181.3144851094,15353.0714374852,298531.027913034,55861.2192155216,44354.5431186679,206388.619824108,284109.569319534,553827.549146135,5818972.3854139
